Gemeinde,Postleitzahl,Lon,Lat,Bundesland,SchÅler
Stuhlfelden,5724,47.2833,12.55,Salzburg,95
Rohr im Kremstal,4531,48.1042,14.2106,Oberîsterreich,95
Hengsberg,8403,46.8359,15.4884,Steiermark,95
Aschau im Zillertal,6274,47.2645,11.9136,Tirol,95
Ulrichskirchen-Schleinbach,2122,48.4101,16.514,Niederîsterreich,94
Schînau im MÅhlkreis,4274,48.4601,14.7097,Oberîsterreich,94
St. Ulrich am Pillersee,6393,47.475,12.5833,Tirol,94
Schwarzau am Steinfeld,2624,47.7336,16.1434,Niederîsterreich,94
Gro·warasdorf,7304,47.4933,16.5213,Burgenland,94
Bad Pirawarth,2222,48.45,16.5833,Niederîsterreich,94
